Date,Open,High,Low,Close,Volume
2022-01-03,177.83,182.88,177.71,182.01,104487900
2022-01-04,182.63,182.94,179.12,179.70,99310400
2022-01-05,179.61,180.17,174.64,174.92,94537600
2022-01-06,172.70,175.30,171.64,172.00,96904000
2022-01-07,172.89,174.14,171.03,172.17,86709100
2022-01-10,169.08,172.50,168.17,172.19,106765600
2022-01-11,172.32,175.18,170.82,175.08,76138300
2022-01-12,176.12,177.18,174.82,175.53,74805200
2022-01-13,175.78,176.62,171.79,172.19,84505800
2022-01-14,171.34,173.78,171.09,173.07,80440800
2022-01-18,171.51,172.54,169.41,169.80,90956700
2022-01-19,170.00,171.08,165.94,166.23,94815000
2022-01-20,166.98,169.68,164.18,164.51,91420500
2022-01-21,164.42,166.33,162.30,162.41,122848900
2022-01-24,160.02,162.30,154.70,161.62,162294600
2022-01-25,158.98,162.76,157.02,159.78,115798400
2022-01-26,163.50,164.39,157.82,159.22,108275300
2022-01-27,162.45,163.84,158.28,159.69,121954600
2022-01-28,165.71,170.35,162.80,170.33,179935700
2022-01-31,170.16,175.00,169.51,174.78,115541600
2022-02-01,174.01,174.84,172.31,174.61,86213900
2022-02-02,174.75,175.88,173.33,175.84,84914300
2022-02-03,175.35,176.24,173.33,174.31,83532400
2022-02-04,171.68,175.48,171.55,172.39,82772700
2022-02-07,172.86,173.95,170.94,171.66,77251200
2022-02-08,171.73,175.35,171.43,174.83,74829200
2022-02-09,176.05,176.65,174.90,176.28,71285000
2022-02-10,174.14,175.48,171.55,172.12,90865900
2022-02-11,172.33,173.08,168.04,168.64,98566351
2022-02-14,167.37,169.58,166.56,168.88,86185500
2022-02-15,170.97,172.95,170.25,172.79,62527400
2022-02-16,171.85,173.34,170.05,172.55,61177400
2022-02-17,171.03,171.91,168.47,168.88,69589300
2022-02-18,169.82,170.54,166.19,167.30,82772700
2022-02-22,164.98,166.69,162.15,164.32,90009200
2022-02-23,165.54,166.15,159.75,160.07,91162800
2022-02-24,152.58,162.85,152.00,162.74,141147500
2022-02-25,163.84,165.12,160.87,164.85,91974200
2022-02-28,163.06,165.42,162.43,165.12,95056600
2022-03-01,164.70,166.60,161.97,163.20,83474400
2022-03-02,164.39,167.36,162.95,166.56,79724800
2022-03-03,168.47,168.91,165.55,166.23,76678400
2022-03-04,164.49,165.55,162.10,163.17,83737200
2022-03-07,163.36,165.02,159.04,159.30,96418800
2022-03-08,158.82,162.88,155.80,157.44,131148300
2022-03-09,161.48,163.41,159.30,162.95,91454900
2022-03-10,159.99,161.03,156.53,158.52,98557000
2022-03-11,158.93,159.28,154.50,154.73,96970100
2022-03-14,151.19,152.16,148.37,150.62,131148500
2022-03-15,150.90,155.57,150.39,155.09,111943300
2022-03-16,156.00,160.20,154.18,159.59,110583200
2022-03-17,159.39,160.77,157.13,160.62,89283600
2022-03-18,161.12,164.42,159.86,163.98,89058800
2022-03-21,163.27,166.35,162.10,165.38,96046400
2022-03-22,167.08,170.21,166.19,168.82,86581300
2022-03-23,168.71,170.42,167.65,170.21,76678800
2022-03-24,171.37,174.14,171.09,174.07,79265200
